Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,SEA 01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
2,SEA 02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
3,SEA 03,160.750000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
4,SEA 04,160.800000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
5,SEA 05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
6,SEA 06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
7,SEA 07,160.950000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
8,SEA 08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
9,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
10,SEA 10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
11,SEA 11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
12,SEA 12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
13,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
14,SEA 14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
15,SEA 15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
16,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
17,SEA 17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,
18,SEA 18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
19,SEA 19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
20,SEA 20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
21,SEA 21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,25.00,,,,,
