Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,SEA 01,160.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
2,SEA 02,160.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
3,SEA 03,160.750000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
4,SEA 04,160.800000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
5,SEA 05,160.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
6,SEA 06,156.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
7,SEA 07,160.950000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
8,SEA 08,156.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
9,SEA 09,156.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,SEA 10,156.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
11,SEA 11,156.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
12,SEA 12,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
13,SEA 13,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
14,SEA 14,156.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
15,SEA 15,156.750000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
16,SEA 16,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
17,SEA 17,156.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
18,SEA 18,161.500000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
19,SEA 19,161.550000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
20,SEA 20,161.600000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
21,SEA 21,161.650000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
22,SEA 22,161.700000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
23,SEA 23,161.750000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
24,SEA 24,161.800000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
25,SEA 25,161.850000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
26,SEA 26,161.900000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
27,SEA 27,161.950000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
28,SEA 28,162.000000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
29,SEA 60,160.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
30,SEA 61,160.675000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
31,SEA 62,160.725000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
32,SEA 63,160.775000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
33,SEA 64,160.825000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
34,SEA 65,160.875000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
35,SEA 66,160.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
36,SEA 67,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
37,SEA 68,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
38,SEA 69,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
39,SEA 70,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
40,SEA 71,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
41,SEA 72,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
42,SEA 73,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
43,SEA 74,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
44,SEA 75,156.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
45,SEA 76,156.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
46,SEA 77,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
47,SEA 78,161.525000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
48,SEA 79,161.575000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
49,SEA 80,161.625000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
50,SEA 81,161.675000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
51,SEA 82,161.725000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
52,SEA 83,161.775000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
53,SEA 84,161.825000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
54,SEA 85,161.875000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
55,SEA 86,161.925000,-,4.600000,,88.5,88.5,023,NN,FM,5.00,,,,,
56,SEA 87,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
57,SEA 88,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
